algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Insercao,20000,2,2,199990000,200029998,0.066954
Shellsort,20000,2,2,282063,499854,0.000294
Mergesort,20000,2,2,148016,574464,0.000346
Heapsort,20000,2,2,468670,763002,0.000890
Quicksort,20000,2,2,364560,86352,0.000248
Introsort,20000,2,2,487767,92105,0.000243
Contagem,20000,2,2,19999,40000,0.000049
Balde,20000,2,2,39999,80000,0.000878
Radixsort C.,20000,2,2,0,360000,0.001001
Radixsort B.,20000,2,2,0,360000,0.003573
Bolha,20000,2,3,199990000,599970000,0.224113
Coquetel,20000,2,3,199990000,599970000,0.265509
Selecao,20000,2,3,199990000,30000,0.094436
Insercao,20000,2,3,199990000,200029998,0.066897
Shellsort,20000,2,3,282063,499854,0.000277
Mergesort,20000,2,3,148016,574464,0.000312
Heapsort,20000,2,3,468670,763002,0.000889
Quicksort,20000,2,3,364560,86352,0.000214
Introsort,20000,2,3,487767,92105,0.000237
Contagem,20000,2,3,19999,40000,0.000049
Balde,20000,2,3,39999,80000,0.000847
Radixsort C.,20000,2,3,0,360000,0.000970
Radixsort B.,20000,2,3,0,360000,0.003475
Bolha,20000,3,1,199980547,297828561,0.395899
Coquetel,20000,3,1,149944990,297828561,0.322804
Selecao,20000,3,1,199990000,59964,0.105562
Insercao,20000,3,1,99296172,99316185,0.034483
Shellsort,20000,3,1,418487,632360,0.001285
Mergesort,20000,3,1,260860,559014,0.001196
Heapsort,20000,3,1,497222,805830,0.001313
Quicksort,20000,3,1,382699,188136,0.000926
Introsort,20000,3,1,343217,156685,0.000907
Contagem,20000,3,1,19999,40004,0.000359
Balde,20000,3,1,40737,80742,0.001174
Radixsort C.,20000,3,1,0,360000,0.000990
Radixsort B.,20000,3,1,0,360000,0.004524
Bolha,20000,3,2,199987225,300953958,0.394447
Coquetel,20000,3,2,150940440,300953958,0.315898
Selecao,20000,3,2,199990000,59973,0.100924
Insercao,20000,3,2,100337979,100357984,0.035559
Shellsort,20000,3,2,421234,635447,0.001357
Mergesort,20000,3,2,261088,559116,0.001353
Heapsort,20000,3,2,496504,804753,0.001396
Quicksort,20000,3,2,370266,186346,0.000998
Introsort,20000,3,2,334566,157604,0.000984
Contagem,20000,3,2,19999,40009,0.000405
Balde,20000,3,2,40805,80815,0.001209
Radixsort C.,20000,3,2,0,360000,0.001012
Radixsort B.,20000,3,2,0,360000,0.004448
Bolha,20000,3,3,199985814,297814995,0.395895
Coquetel,20000,3,3,148990050,297814995,0.315378
Selecao,20000,3,3,199990000,59967,0.101726
Insercao,20000,3,3,99291652,99311663,0.034890
Shellsort,20000,3,3,421781,635884,0.001370
Mergesort,20000,3,3,260995,559034,0.001201
Heapsort,20000,3,3,497000,805497,0.001372
Quicksort,20000,3,3,389832,192724,0.000962
Introsort,20000,3,3,354268,156957,0.000932
Contagem,20000,3,3,19999,40012,0.000364
Balde,20000,3,3,40772,80785,0.001214
Radixsort C.,20000,3,3,0,360000,0.001015
Radixsort B.,20000,3,3,0,360000,0.004686
Bolha,30000,1,1,29999,0,0.000009
Coquetel,30000,1,1,29999,0,0.000009
Selecao,30000,1,1,449985000,0,0.224949
Insercao,30000,1,1,29999,59998,0.000017
Shellsort,30000,1,1,324285,648570,0.000292
Mergesort,30000,1,1,219504,666736,0.000342
Heapsort,30000,1,1,820202,1320300,0.001283
Quicksort,30000,1,1,364093,70233,0.000215
Introsort,30000,1,1,364093,70233,0.000192
Contagem,30000,1,1,29999,89999,0.000094
Balde,30000,1,1,59999,149999,0.001075
Radixsort C.,30000,1,1,0,540000,0.001502
Radixsort B.,30000,1,1,0,540000,0.006047
Bolha,30000,1,2,29999,0,0.000009
Coquetel,30000,1,2,29999,0,0.000009
Selecao,30000,1,2,449985000,0,0.229199
Insercao,30000,1,2,29999,59998,0.000020
Shellsort,30000,1,2,324285,648570,0.000289
Mergesort,30000,1,2,219504,666736,0.000329
Heapsort,30000,1,2,820202,1320300,0.001276
Quicksort,30000,1,2,364093,70233,0.000212
Introsort,30000,1,2,364093,70233,0.000194
Contagem,30000,1,2,29999,89999,0.000093
Balde,30000,1,2,59999,149999,0.001093
Radixsort C.,30000,1,2,0,540000,0.001489
Radixsort B.,30000,1,2,0,540000,0.005919
Bolha,30000,1,3,29999,0,0.000009
Coquetel,30000,1,3,29999,0,0.000009
Selecao,30000,1,3,449985000,0,0.226273
Insercao,30000,1,3,29999,59998,0.000017
Shellsort,30000,1,3,324285,648570,0.000283
Mergesort,30000,1,3,219504,666736,0.000322
Heapsort,30000,1,3,820202,1320300,0.001250
Quicksort,30000,1,3,364093,70233,0.000207
Introsort,30000,1,3,364093,70233,0.000187
Contagem,30000,1,3,29999,89999,0.000091
Balde,30000,1,3,59999,149999,0.001079
Radixsort C.,30000,1,3,0,540000,0.001529
Radixsort B.,30000,1,3,0,540000,0.005823
Bolha,30000,2,1,449985000,1349955000,0.502097
Coquetel,30000,2,1,449985000,1349955000,0.598672
Selecao,30000,2,1,449985000,45000,0.212690
Insercao,30000,2,1,449985000,450044998,0.149552
Shellsort,30000,2,1,451690,791542,0.000436
Mergesort,30000,2,1,227728,894464,0.000518
Heapsort,30000,2,1,738426,1197636,0.001302
Quicksort,30000,2,1,574781,127790,0.000313
Introsort,30000,2,1,775159,136872,0.000367
Contagem,30000,2,1,29999,60000,0.000091
Balde,30000,2,1,59999,120000,0.001251
Radixsort C.,30000,2,1,0,540000,0.001494
Radixsort B.,30000,2,1,0,540000,0.005730
Bolha,30000,2,2,449985000,1349955000,0.507816
Coquetel,30000,2,2,449985000,1349955000,0.600502
Selecao,30000,2,2,449985000,45000,0.214208
Insercao,30000,2,2,449985000,450044998,0.150176
Shellsort,30000,2,2,451690,791542,0.000467
Mergesort,30000,2,2,227728,894464,0.000516
Heapsort,30000,2,2,738426,1197636,0.001359
Quicksort,30000,2,2,574781,127790,0.000312
Introsort,30000,2,2,775159,136872,0.000366
Contagem,30000,2,2,29999,60000,0.000092
Balde,30000,2,2,59999,120000,0.001379
Radixsort C.,30000,2,2,0,540000,0.001455
Radixsort B.,30000,2,2,0,540000,0.005942
Bolha,30000,2,3,449985000,1349955000,0.500257
Coquetel,30000,2,3,449985000,1349955000,0.612587
Selecao,30000,2,3,449985000,45000,0.212206
Insercao,30000,2,3,449985000,450044998,0.150084
Shellsort,30000,2,3,451690,791542,0.000434
Mergesort,30000,2,3,227728,894464,0.000485
Heapsort,30000,2,3,738426,1197636,0.001297
Quicksort,30000,2,3,574781,127790,0.000316
Introsort,30000,2,3,775159,136872,0.000369
Contagem,30000,2,3,29999,60000,0.000092
Balde,30000,2,3,59999,120000,0.001253
Radixsort C.,30000,2,3,0,540000,0.001561
Radixsort B.,30000,2,3,0,540000,0.005738
Bolha,30000,3,1,449971634,679983765,0.927518
Coquetel,30000,3,1,338942747,679983765,0.762609
Selecao,30000,3,1,449985000,89967,0.226560
Insercao,30000,3,1,226691240,226721253,0.076077
Shellsort,30000,3,1,665145,1003587,0.001996
