algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo_ms
Contagem,1500,3,2,1499,3004,0.011804
Balde,1500,3,2,3062,6067,0.059087
Radixsort C.,1500,3,2,0,27000,0.109234
Radixsort B.,1500,3,2,0,27000,0.179287
Bolha,1500,3,3,1124250,1660317,1.535499
Bolha c/ F.,1500,3,3,1123509,1660317,1.429895
Coquetel,1500,3,3,842625,1660317,1.302711
Selecao,1500,3,3,1124250,4476,0.600370
Insercao,1500,3,3,554929,556437,0.278743
Shellsort,1500,3,3,20513,32005,0.068167
Mergesort,1500,3,3,13970,30775,0.064605
Quicksort,1500,3,3,28212,57687,0.108187
Heapsort,1500,3,3,26102,43650,0.082484
Contagem,1500,3,3,1499,3004,0.011943
Balde,1500,3,3,3062,6067,0.061951
Radixsort C.,1500,3,3,0,27000,0.108466
Radixsort B.,1500,3,3,0,27000,0.184176
Bolha,2000,1,1,1999000,0,0.963554
Bolha c/ F.,2000,1,1,1999,0,0.001955
Coquetel,2000,1,1,1999,0,0.002375
Selecao,2000,1,1,1999000,0,0.874085
Insercao,2000,1,1,1999,3998,0.001886
Shellsort,2000,1,1,15021,30042,0.012223
Mergesort,2000,1,1,10864,32816,0.020045
Quicksort,2000,1,1,38592,79869,0.108187
Heapsort,2000,1,1,38602,63900,0.084790
Contagem,2000,1,1,1999,5999,0.005168
Balde,2000,1,1,3999,9999,0.051754
Radixsort C.,2000,1,1,0,36000,0.137102
Radixsort B.,2000,1,1,0,36000,0.242076
Bolha,2000,1,2,1999000,0,0.974659
Bolha c/ F.,2000,1,2,1999,0,0.001886
Coquetel,2000,1,2,1999,0,0.002375
Selecao,2000,1,2,1999000,0,0.865146
Insercao,2000,1,2,1999,3998,0.001886
Shellsort,2000,1,2,15021,30042,0.011873
Mergesort,2000,1,2,10864,32816,0.020534
Quicksort,2000,1,2,38592,79869,0.108257
Heapsort,2000,1,2,38602,63900,0.083532
Contagem,2000,1,2,1999,5999,0.005238
Balde,2000,1,2,3999,9999,0.052102
Radixsort C.,2000,1,2,0,36000,0.133680
Radixsort B.,2000,1,2,0,36000,0.241378
Bolha,2000,1,3,1999000,0,0.963973
Bolha c/ F.,2000,1,3,1999,0,0.001886
Coquetel,2000,1,3,1999,0,0.001956
Selecao,2000,1,3,1999000,0,0.865006
Insercao,2000,1,3,1999,3998,0.002375
Shellsort,2000,1,3,15021,30042,0.011874
Mergesort,2000,1,3,10864,32816,0.020603
Quicksort,2000,1,3,38592,79869,0.108536
Heapsort,2000,1,3,38602,63900,0.084859
Contagem,2000,1,3,1999,5999,0.005239
Balde,2000,1,3,3999,9999,0.052172
Radixsort C.,2000,1,3,0,36000,0.133679
Radixsort B.,2000,1,3,0,36000,0.316388
Bolha,2000,2,1,1999000,5997000,3.420700
Bolha c/ F.,2000,2,1,1999000,5997000,3.390877
Coquetel,2000,2,1,1999000,5997000,3.373766
Selecao,2000,2,1,1999000,3000,1.179020
Insercao,2000,2,1,1999000,2002998,0.959922
Shellsort,2000,2,1,21358,37386,0.023258
Mergesort,2000,2,1,11088,43904,0.025214
Quicksort,2000,2,1,37143,75095,0.125088
Heapsort,2000,2,1,33418,56124,0.084510
Contagem,2000,2,1,1999,4000,0.005657
Balde,2000,2,1,3999,8000,0.042534
Radixsort C.,2000,2,1,0,36000,0.129210
Radixsort B.,2000,2,1,0,36000,0.252832
Bolha,2000,2,2,1999000,5997000,3.402262
Bolha c/ F.,2000,2,2,1999000,5997000,3.358260
Coquetel,2000,2,2,1999000,5997000,3.373137
Selecao,2000,2,2,1999000,3000,1.064616
Insercao,2000,2,2,1999000,2002998,0.958595
Shellsort,2000,2,2,21358,37386,0.021442
Mergesort,2000,2,2,11088,43904,0.025632
Quicksort,2000,2,2,37143,75095,0.110072
Heapsort,2000,2,2,33418,56124,0.084859
Contagem,2000,2,2,1999,4000,0.005238
Balde,2000,2,2,3999,8000,0.042535
Radixsort C.,2000,2,2,0,36000,0.133540
Radixsort B.,2000,2,2,0,36000,0.242215
Bolha,2000,2,3,1999000,5997000,3.414554
Bolha c/ F.,2000,2,3,1999000,5997000,3.390319
Coquetel,2000,2,3,1999000,5997000,3.373068
Selecao,2000,2,3,1999000,3000,0.958735
Insercao,2000,2,3,1999000,2002998,0.960620
Shellsort,2000,2,3,21358,37386,0.020045
Mergesort,2000,2,3,11088,43904,0.025911
Quicksort,2000,2,3,37143,75095,0.105952
Heapsort,2000,2,3,33418,56124,0.084370
Contagem,2000,2,3,1999,4000,0.005308
Balde,2000,2,3,3999,8000,0.043372
Radixsort C.,2000,2,3,0,36000,0.133400
Radixsort B.,2000,2,3,0,36000,0.237956
Bolha,2000,3,1,1999000,2997852,2.744830
Bolha c/ F.,2000,3,1,1998700,2997852,2.577416
Coquetel,2000,3,1,1526122,2997852,2.362090
Selecao,2000,3,1,1999000,5970,1.016076
Insercao,2000,3,1,1001272,1003282,0.490368
Shellsort,2000,3,1,29766,45703,0.098548
Mergesort,2000,3,1,19424,42615,0.088980
Quicksort,2000,3,1,38302,75225,0.153515
Heapsort,2000,3,1,36226,60336,0.119920
Contagem,2000,3,1,1999,4006,0.015296
Balde,2000,3,1,4075,8082,0.078852
Radixsort C.,2000,3,1,0,36000,0.139128
Radixsort B.,2000,3,1,0,36000,0.247174
Bolha,2000,3,2,1999000,2997852,2.724994
Bolha c/ F.,2000,3,2,1998700,2997852,2.649773
Coquetel,2000,3,2,1526122,2997852,2.382484
Selecao,2000,3,2,1999000,5970,1.027879
Insercao,2000,3,2,1001272,1003282,0.491415
Shellsort,2000,3,2,29766,45703,0.098269
Mergesort,2000,3,2,19424,42615,0.089189
Quicksort,2000,3,2,38302,75225,0.155680
Heapsort,2000,3,2,36226,60336,0.117825
Contagem,2000,3,2,1999,4006,0.015785
Balde,2000,3,2,4075,8082,0.079691
Radixsort C.,2000,3,2,0,36000,0.139197
Radixsort B.,2000,3,2,0,36000,0.247245
Bolha,2000,3,3,1999000,2997852,2.748880
Bolha c/ F.,2000,3,3,1998700,2997852,2.584051
Coquetel,2000,3,3,1526122,2997852,2.348400
Selecao,2000,3,3,1999000,5970,1.035911
Insercao,2000,3,3,1001272,1003282,0.493929
Shellsort,2000,3,3,29766,45703,0.098270
Mergesort,2000,3,3,19424,42615,0.089679
Quicksort,2000,3,3,38302,75225,0.141990
Heapsort,2000,3,3,36226,60336,0.131584
Contagem,2000,3,3,1999,4006,0.015924
Balde,2000,3,3,4075,8082,0.079132
Radixsort C.,2000,3,3,0,36000,0.134378
Radixsort B.,2000,3,3,0,36000,0.259816
