algoritmo,tamanho,tipo,execucao,comparacoes,movimentacoes,tempo
Introsort,15000,1,2,351414,68223,0.00017
Contagem,15000,1,2,14999,30000,2.6e-05
Balde,15000,1,2,29999,60000,0.000445
Radixsort C.,15000,1,2,0,270000,0.000999
Radixsort B.,15000,1,2,0,270000,0.002041
Bolha,15000,1,3,112492500,337477500,0.190256
Coquetel,15000,1,3,112492500,337477500,0.18808
Seleção,15000,1,3,112492500,22500,0.046413
Inserção,15000,1,3,112492500,112522498,0.04161
Shellsort,15000,1,3,205101,363596,0.000192
Mergesort,15000,1,3,106364,417232,0.000255
Heapsort,15000,1,3,338366,552546,0.000737
Quicksort,15000,1,3,262802,63873,0.000138
Introsort,15000,1,3,351414,68223,0.000172
Contagem,15000,1,3,14999,30000,2.6e-05
Balde,15000,1,3,29999,60000,0.000469
Radixsort C.,15000,1,3,0,270000,0.001002
Radixsort B.,15000,1,3,0,270000,0.002094
Bolha,15000,2,1,112490289,168315777,0.197047
Coquetel,15000,2,1,83745347,168315777,0.182837
Seleção,15000,2,1,112492500,44964,0.051635
Inserção,15000,2,1,56120249,56135257,0.020723
Shellsort,15000,2,1,303958,460572,0.001012
Mergesort,15000,2,1,189364,406856,0.000919
Heapsort,15000,2,1,360102,585150,0.001071
Quicksort,15000,2,1,268779,141828,0.000646
Introsort,15000,2,1,245940,116294,0.000636
Contagem,15000,2,1,14999,30012,0.00028
Balde,15000,2,1,30630,60643,0.000643
Radixsort C.,15000,2,1,0,270000,0.001051
Radixsort B.,15000,2,1,0,270000,0.0023
Bolha,15000,2,2,112473194,167931036,0.195797
Coquetel,15000,2,2,84558425,167931036,0.183136
Seleção,15000,2,2,112492500,44958,0.051864
Inserção,15000,2,2,55992000,56007010,0.020835
Shellsort,15000,2,2,302731,459336,0.000989
Mergesort,15000,2,2,189359,406702,0.000842
Heapsort,15000,2,2,359844,584763,0.00107
Quicksort,15000,2,2,275808,139360,0.000635
Introsort,15000,2,2,239639,116103,0.000642
Contagem,15000,2,2,14999,30012,0.000285
Balde,15000,2,2,30598,60611,0.00064
Radixsort C.,15000,2,2,0,270000,0.001051
Radixsort B.,15000,2,2,0,270000,0.002244
Bolha,15000,2,3,112473194,167931036,0.199119
Coquetel,15000,2,3,84558425,167931036,0.182996
Seleção,15000,2,3,112492500,44958,0.051837
Inserção,15000,2,3,55992000,56007010,0.020748
Shellsort,15000,2,3,302731,459336,0.000992
Mergesort,15000,2,3,189359,406702,0.000843
Heapsort,15000,2,3,359844,584763,0.001071
Quicksort,15000,2,3,275808,139360,0.000635
Introsort,15000,2,3,239639,116103,0.000645
Contagem,15000,2,3,14999,30012,0.000281
Balde,15000,2,3,30598,60611,0.000642
Radixsort C.,15000,2,3,0,270000,0.001054
Radixsort B.,15000,2,3,0,270000,0.002274
Bolha,20000,0,1,19999,0,6e-06
Coquetel,20000,0,1,19999,0,1.1e-05
Seleção,20000,0,1,199990000,0,0.090525
Inserção,20000,0,1,19999,39998,1.4e-05
Shellsort,20000,0,1,204285,408570,0.000191
Mergesort,20000,0,1,139216,426448,0.000184
Heapsort,20000,0,1,525758,848634,0.001004
Quicksort,20000,0,1,244093,50233,0.000116
Introsort,20000,0,1,244093,50233,0.000122
Contagem,20000,0,1,19999,59999,5.4e-05
Balde,20000,0,1,39999,99999,0.000533
Radixsort C.,20000,0,1,0,360000,0.001342
Radixsort B.,20000,0,1,0,360000,0.002845
Bolha,20000,0,2,19999,0,6e-06
Coquetel,20000,0,2,19999,0,1e-05
Seleção,20000,0,2,199990000,0,0.084446
Inserção,20000,0,2,19999,39998,1.4e-05
Shellsort,20000,0,2,204285,408570,0.000191
Mergesort,20000,0,2,139216,426448,0.000184
Heapsort,20000,0,2,525758,848634,0.001015
Quicksort,20000,0,2,244093,50233,0.000118
Introsort,20000,0,2,244093,50233,0.000119
Contagem,20000,0,2,19999,59999,5.2e-05
Balde,20000,0,2,39999,99999,0.000534
Radixsort C.,20000,0,2,0,360000,0.001342
Radixsort B.,20000,0,2,0,360000,0.002661
Bolha,20000,0,3,19999,0,6e-06
Coquetel,20000,0,3,19999,0,1.1e-05
Seleção,20000,0,3,199990000,0,0.090562
Inserção,20000,0,3,19999,39998,1.4e-05
Shellsort,20000,0,3,204285,408570,0.000193
Mergesort,20000,0,3,139216,426448,0.000188
Heapsort,20000,0,3,525758,848634,0.000999
Quicksort,20000,0,3,244093,50233,0.000116
Introsort,20000,0,3,244093,50233,0.000118
Contagem,20000,0,3,19999,59999,5.4e-05
Balde,20000,0,3,39999,99999,0.000537
Radixsort C.,20000,0,3,0,360000,0.001342
Radixsort B.,20000,0,3,0,360000,0.002784
Bolha,20000,1,1,199990000,599970000,0.338491
Coquetel,20000,1,1,199990000,599970000,0.334909
Seleção,20000,1,1,199990000,30000,0.082437
Inserção,20000,1,1,199990000,200029998,0.073996
Shellsort,20000,1,1,282063,499854,0.000274
Mergesort,20000,1,1,148016,574464,0.000341
Heapsort,20000,1,1,468670,763002,0.001008
Quicksort,20000,1,1,364560,86352,0.000194
Introsort,20000,1,1,487767,92105,0.000229
Contagem,20000,1,1,19999,40000,5.3e-05
Balde,20000,1,1,39999,80000,0.000716
Radixsort C.,20000,1,1,0,360000,0.001341
Radixsort B.,20000,1,1,0,360000,0.002663
Bolha,20000,1,2,199990000,599970000,0.338639
Coquetel,20000,1,2,199990000,599970000,0.334869
Seleção,20000,1,2,199990000,30000,0.082726
Inserção,20000,1,2,199990000,200029998,0.073957
Shellsort,20000,1,2,282063,499854,0.000263
Mergesort,20000,1,2,148016,574464,0.000341
Heapsort,20000,1,2,468670,763002,0.001001
Quicksort,20000,1,2,364560,86352,0.000195
Introsort,20000,1,2,487767,92105,0.000231
Contagem,20000,1,2,19999,40000,5.3e-05
Balde,20000,1,2,39999,80000,0.000709
Radixsort C.,20000,1,2,0,360000,0.001348
Radixsort B.,20000,1,2,0,360000,0.002753
Bolha,20000,1,3,199990000,599970000,0.338152
Coquetel,20000,1,3,199990000,599970000,0.334711
Seleção,20000,1,3,199990000,30000,0.082459
Inserção,20000,1,3,199990000,200029998,0.074617
Shellsort,20000,1,3,282063,499854,0.00027
Mergesort,20000,1,3,148016,574464,0.000346
Heapsort,20000,1,3,468670,763002,0.001008
Quicksort,20000,1,3,364560,86352,0.000202
Introsort,20000,1,3,487767,92105,0.000242
Contagem,20000,1,3,19999,40000,5.3e-05
Balde,20000,1,3,39999,80000,0.0007
Radixsort C.,20000,1,3,0,360000,0.001355
Radixsort B.,20000,1,3,0,360000,0.002701
Bolha,20000,2,1,199988170,299480598,0.397241
Coquetel,20000,2,1,149644405,299480598,0.349483
Seleção,20000,2,1,199990000,59967,0.091755
Inserção,20000,2,1,99846856,99866864,0.036926
Shellsort,20000,2,1,419912,633990,0.001414
Mergesort,20000,2,1,260813,558912,0.001154
Heapsort,20000,2,1,496648,804969,0.001498
Quicksort,20000,2,1,385452,202181,0.000874
Introsort,20000,2,1,335164,158438,0.000871
Contagem,20000,2,1,19999,40010,0.000387
Balde,20000,2,1,40786,80797,0.00089
Radixsort C.,20000,2,1,0,360000,0.001416
Radixsort B.,20000,2,1,0,360000,0.003449
Bolha,20000,2,2,199976634,300297990,0.388861
Coquetel,20000,2,2,150074964,300297990,0.349984
Seleção,20000,2,2,199990000,59979,0.091788
Inserção,20000,2,2,100119314,100139328,0.037029
Shellsort,20000,2,2,420230,634289,0.001396
Mergesort,20000,2,2,260806,558994,0.001148
Heapsort,20000,2,2,496768,805149,0.001484
Quicksort,20000,2,2,385749,205955,0.000897
Introsort,20000,2,2,329624,158421,0.000893
Contagem,20000,2,2,19999,40007,0.000378
Balde,20000,2,2,40787,80795,0.000896
Radixsort C.,20000,2,2,0,360000,0.001413
Radixsort B.,20000,2,2,0,360000,0.003501
